Longitude,Latitude,Address
-85.25281221,35.07823414, 3315 N  HAWTHORNE ST
-85.24495094,35.06817245, 2603 FROST ST
-85.22353327,35.07983401, 4115 BONNY OAKS DR
-85.25195091,35.07265642, 2015 STUART ST
-85.22882923,35.06704611, 3065 TOWERWAY DR
-85.24658962,35.06755226, 2715 NOA ST
-85.21138328,35.07315033, 4301 THUNDERBIRD DR
-85.22390043,35.0799511, 4105 BONNY OAKS DR
-85.21605694,35.08186519, 4029 S  ACCESS RD
-85.24568728,35.07671825, 3500 TAYLOR ST
-85.25669137,35.07755478, 3204 RIVERSIDE DR
-85.24566317,35.06672799, 2655 GLASS ST
-85.22402219,35.08181476, 3209 GRANADA ST
-85.23520939,35.07865715, 2811 RIDGECREST DR
-85.23951679,35.07913908, 2511 RIDGECREST DR
-85.24575037,35.0777177, 3515 TAYLOR ST
-85.22428284,35.07810093, 3920 BRYANT ST
-85.20773779,35.07537291, 3912 PEACH ST
-85.26265532,35.06945865, 2405 RIVERSIDE DR
-85.25407132,35.06677662, 2107 DAISY ST
-85.246781,35.06637241, 2627 GLASS ST
-85.2617108,35.0558392, 1607 BRADT ST
-85.26592637,35.0700587, 1211 LATTA ST
-85.23125899,35.06705586, 3049 TOWERWAY DR
-85.24638227,35.07472644, 2349 ALLIN ST
-85.24826331,35.07321268, 3107 TAYLOR ST
-85.25294412,35.07224732, 2000 STUART ST
-85.2258977,35.08122035, 4051 HOMER ST
-85.25732652,35.07763513, 3203 RIVERSIDE DR
-85.23822543,35.0730958, 3410 CAMPBELL ST
-85.2594914,35.0736701, 2815 RIVERSIDE DR
-85.23508452,35.09118285, 2501 MAPLE ST
-85.21080605,35.07252623, 4306 THUNDERBIRD DR
-85.25141394,35.07344744, 3015 CURTIS ST
-85.20950906,35.07295349, 4314 BUTTERFLY DR
-85.25355887,35.0684919, 2610 CURTIS ST
-85.24446932,35.06835297, 2613 FROST ST
-85.23205419,35.07347317, 3652 SAPULPA ST
-85.21189047,35.07256255, 3830 DEERFOOT DR
-85.25185092,35.0716708, 2908 CURTIS ST
-85.20854034,35.07055743, 3803 DEERFOOT DR
-85.25625308,35.07849423, 1501 WISDOM ST
-85.24787849,35.072891, 3104 TAYLOR ST
-85.24727428,35.07184581, 2314 WILDER ST
-85.26531828,35.0735125, 1007 FAIRLEIGH ST
-85.23973086,35.07600118, 3428 VINEWOOD DR
-85.22987503,35.07533026, 3811 WAUCHULA ST
-85.25332258,35.06165406, 2113 DAVENPORT ST
-85.23556523,35.07357539, 3512 BONNY OAKS DR
-85.24872161,35.07145599, 2301 STUART ST
-85.22489776,35.078224, 3925 BRYANT ST
-85.23677864,35.077841, 2707 RIDGECREST DR
-85.23876494,35.07794387, 2600 RIDGECREST DR
-85.22614948,35.08040907, 4034 HOMER ST
-85.2108643,35.07156331, 3821 DEERFOOT DR
-85.25028092,35.06632801, 2316 APPLING ST
-85.24081927,35.07167965, 2706 GROVE ST
-85.26620184,35.06754034, 2124 DELANO DR
-85.24974067,35.07540791, 3212 CURTIS ST
-85.24704045,35.07582786, 2214 ALLIN ST
-85.22990141,35.04803257, 1715 LA HUGH DR
-85.25383958,35.07659838, 3205 N  HAWTHORNE ST
-85.24471244,35.06998715, 2601 STUART ST
-85.25079605,35.07365089, 2101 WILDER ST
-85.23171203,35.07155347, 3604 WAUCHULA ST
-85.24898317,35.07288458, 2205 WILDER ST
-85.25716488,35.07772776, 3205 RIVERSIDE DR
-85.23207611,35.07072099, 3506 WAUCHULA ST
-85.23037582,35.07285591, 3216 OSWEGO ST
-85.23227955,35.06707331, 3041 TOWERWAY DR
-85.2283572,35.08067155, 4015 LOFTIS ST
